%----------------------------------------------
% Training file for the TLP problem
%
% @author: TLPGen (a test data generation tool)
%----------------------------------------------

@RELATION tlp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE class {1, 2, 3, 4}

@DATA
1156,855,685,855,685,298,1156,298,3
663,1007,663,777,942,1007,942,777,2
342,636,1139,636,1139,832,342,832,1
1575,749,1575,1242,840,749,840,1242,3
13,907,13,1615,908,907,908,1615,1
991,194,1560,194,991,858,1560,858,1
1264,793,936,793,936,505,1264,505,3
25,1127,25,900,499,900,499,1127,2
1347,455,994,824,1347,824,994,455,4
271,1198,271,926,639,1198,639,926,2
948,1191,948,450,443,1191,443,450,4
638,1107,638,271,449,271,449,1107,3
630,185,525,185,525,1066,630,1066,2
58,358,58,18,1059,18,1059,358,2
416,971,1287,971,1287,1192,416,1192,1
377,1061,692,1061,377,873,692,873,3
372,479,372,1386,429,479,429,1386,1
1074,932,361,932,361,1714,1074,1714,2
302,749,246,773,302,773,246,749,4
142,967,142,1848,672,1848,672,967,1
1104,732,1104,661,689,661,689,732,3
952,298,510,298,952,531,510,531,2
884,674,1343,534,884,534,1343,674,3
735,1263,4,1263,4,755,735,755,3
916,419,1048,419,1048,1386,916,1386,1
574,683,914,1129,914,683,574,1129,1
932,601,915,1410,932,1410,915,601,4
1206,304,419,1089,419,304,1206,1089,3
135,505,491,505,135,92,491,92,3
1334,347,945,347,1334,1228,945,1228,2
1395,815,715,815,715,175,1395,175,3
265,1532,265,838,337,838,337,1532,2
906,93,1353,93,906,42,1353,42,3
517,604,350,604,350,909,517,909,2
686,1362,873,950,873,1362,686,950,4
606,1462,782,581,606,581,782,1462,3
1644,772,1644,954,914,954,914,772,4
320,293,320,954,300,954,300,293,4
1029,408,202,408,202,1306,1029,1306,2
576,1054,539,1054,576,898,539,898,4
251,773,890,1300,251,1300,890,773,1
977,211,977,585,711,211,711,585,3
1429,1752,754,1752,1429,786,754,786,4
256,533,256,1338,457,533,457,1338,1
911,1288,936,1288,936,763,911,763,4
1518,1558,1518,698,786,1558,786,698,4
413,1127,1004,597,1004,1127,413,597,4
281,1332,281,433,316,433,316,1332,2
749,162,1089,139,749,139,1089,162,3
144,633,714,633,714,341,144,341,4
1008,965,300,965,300,1689,1008,1689,2
649,582,721,874,721,582,649,874,1
903,361,903,805,685,361,685,805,3
1092,235,1092,1144,755,1144,755,235,4
996,1505,320,875,320,1505,996,875,2
1333,1114,403,700,1333,700,403,1114,2
869,823,1,823,869,127,1,127,4
340,956,622,1062,622,956,340,1062,1
472,994,1011,840,472,840,1011,994,3
555,617,1016,937,1016,617,555,937,1
304,1077,716,410,304,410,716,1077,3
556,1407,556,679,377,1407,377,679,4
883,393,1054,393,1054,1110,883,1110,1
1573,943,1573,1809,948,1809,948,943,4
1176,741,933,142,1176,142,933,741,2
442,248,442,1077,1395,1077,1395,248,1
618,768,683,257,618,257,683,768,3
236,964,236,1511,657,1511,657,964,1
1092,911,1092,445,171,911,171,445,4
795,132,492,1076,795,1076,492,132,4
659,52,1016,52,1016,340,659,340,1
312,323,662,1234,312,1234,662,323,1
1091,130,898,130,898,561,1091,561,2
1801,1312,867,1312,1801,591,867,591,4
104,157,217,283,104,283,217,157,1
222,1101,222,204,1109,1101,1109,204,2
519,673,755,673,755,1101,519,1101,1
514,1168,514,503,435,1168,435,503,4
545,847,545,562,171,562,171,847,3
632,269,1131,269,632,1134,1131,1134,1
1245,523,1245,288,705,288,705,523,3
1313,1431,469,517,1313,517,469,1431,2
1107,249,1107,1249,819,1249,819,249,4
606,813,606,1691,235,813,235,1691,3
1734,570,907,570,907,1545,1734,1545,2
367,455,172,1106,367,1106,172,455,4
696,627,1163,627,696,1505,1163,1505,1
41,1015,41,729,879,1015,879,729,2
976,990,1205,745,976,745,1205,990,3
1277,87,877,87,877,498,1277,498,2
1168,299,218,299,1168,576,218,576,2
1158,690,803,690,803,484,1158,484,3
438,513,438,68,107,513,107,68,4
832,281,1713,1000,1713,281,832,1000,1
778,541,263,1385,263,541,778,1385,3
716,478,118,194,118,478,716,194,2
1252,171,595,171,595,107,1252,107,3
862,1044,862,862,340,1044,340,862,4
1571,838,1571,348,864,838,864,348,4
858,0,858,562,81,562,81,0,4
1235,288,1235,822,577,288,577,822,3
275,891,705,265,275,265,705,891,3
1358,812,622,315,1358,315,622,812,2
900,1031,257,330,900,330,257,1031,2
659,922,659,755,228,922,228,755,4
414,717,414,1146,143,717,143,1146,3
813,966,1702,1764,1702,966,813,1764,1
1253,1298,1253,381,649,1298,649,381,4
948,979,948,1963,745,979,745,1963,3
833,374,1008,374,1008,35,833,35,4
936,460,439,1075,936,1075,439,460,4
411,747,441,747,411,676,441,676,3
1401,897,473,1126,473,897,1401,1126,3
314,586,314,77,1000,586,1000,77,2
1507,972,1507,1343,569,1343,569,972,4
1283,486,1283,1470,562,486,562,1470,3
1289,401,924,809,924,401,1289,809,3
526,88,1050,290,1050,88,526,290,1
629,945,1511,945,1511,736,629,736,4
1733,1338,845,920,845,1338,1733,920,2
272,24,1051,24,1051,231,272,231,1
75,453,75,1416,1001,1416,1001,453,1
256,373,256,324,58,373,58,324,4
474,213,986,542,986,213,474,542,1
891,846,1362,321,891,321,1362,846,3
1143,969,1143,410,474,969,474,410,4
1765,709,1765,885,756,885,756,709,4
799,1235,1605,952,1605,1235,799,952,4
1332,934,650,934,650,31,1332,31,3
885,68,402,68,402,955,885,955,2
1337,412,694,872,1337,872,694,412,4
860,545,1045,524,1045,545,860,524,4
1880,622,994,622,994,1629,1880,1629,2
1372,34,1372,157,711,157,711,34,4
1711,610,932,1246,932,610,1711,1246,3
200,738,608,738,608,1160,200,1160,1
809,344,809,248,92,248,92,344,3
565,836,229,1786,565,1786,229,836,4
1082,1425,676,454,1082,454,676,1425,2
791,1272,1169,271,791,271,1169,1272,3
813,43,624,43,813,121,624,121,2
867,633,1467,633,1467,175,867,175,4
741,870,586,246,741,246,586,870,2
642,1680,642,762,117,762,117,1680,3
747,735,764,354,764,735,747,354,4
393,696,1350,426,393,426,1350,696,3
1774,1366,964,1366,1774,806,964,806,4
206,191,104,774,206,774,104,191,4
339,843,434,939,339,939,434,843,1
946,1333,1558,631,946,631,1558,1333,3
33,438,10,775,33,775,10,438,4
0,463,404,930,0,930,404,463,1
609,446,835,1404,835,446,609,1404,1
838,97,838,244,1045,97,1045,244,1
490,1563,633,1563,490,700,633,700,3
87,1113,506,1113,506,664,87,664,4
134,1748,775,1748,775,995,134,995,4
1228,783,1228,500,435,783,435,500,4
678,131,1631,662,678,662,1631,131,1
673,1697,1589,927,1589,1697,673,927,4
1233,1038,423,1038,1233,471,423,471,4
612,335,671,335,612,278,671,278,3
376,164,821,164,821,580,376,580,1
478,968,1141,968,1141,807,478,807,4
1504,227,1504,338,678,227,678,338,3
869,1243,869,400,1543,1243,1543,400,2
1723,1444,1723,897,809,897,809,1444,3
708,70,708,618,941,70,941,618,1
316,1145,983,1145,983,140,316,140,4
886,1442,417,794,886,794,417,1442,2
224,540,937,540,224,583,937,583,1
850,1219,1726,651,1726,1219,850,651,4
1155,650,1155,21,303,650,303,21,4
528,1281,1305,1281,1305,325,528,325,4
1083,54,665,54,1083,305,665,305,2
32,71,32,963,591,963,591,71,1
751,208,148,208,751,669,148,669,2
790,1217,391,935,391,1217,790,935,2
731,735,731,1141,1247,735,1247,1141,1
735,378,1361,378,735,1155,1361,1155,1
876,968,876,933,1033,933,1033,968,2
724,176,1337,176,1337,653,724,653,1
394,501,75,501,75,1317,394,1317,2
729,557,1282,557,729,82,1282,82,3
614,678,1562,678,1562,1530,614,1530,1
163,178,105,369,163,369,105,178,4
271,996,271,1250,169,1250,169,996,4
1108,922,790,1452,790,922,1108,1452,3
817,715,817,1508,1748,1508,1748,715,1
357,1121,564,297,357,297,564,1121,3
540,960,540,248,181,960,181,248,4
447,547,447,794,509,547,509,794,1
826,564,1282,564,826,1569,1282,1569,1
25,1324,790,580,790,1324,25,580,4
963,549,57,797,963,797,57,549,4
1700,391,1700,947,747,391,747,947,3
1015,356,760,952,760,356,1015,952,3
1625,1054,1625,763,904,763,904,1054,3
925,1115,925,123,1850,1115,1850,123,2
401,761,174,761,401,1692,174,1692,2
443,157,443,370,1408,157,1408,370,1
870,647,870,595,138,595,138,647,3
1106,944,406,944,1106,603,406,603,4
999,1704,999,769,751,769,751,1704,3
387,968,387,1160,415,968,415,1160,1
991,525,1231,664,1231,525,991,664,1
832,737,1688,985,832,985,1688,737,1
419,1025,1016,493,419,493,1016,1025,3
498,880,1155,633,498,633,1155,880,3
598,991,79,991,598,1071,79,1071,2
989,875,1721,875,989,44,1721,44,3
827,456,827,1064,1171,456,1171,1064,1
564,523,564,99,1495,523,1495,99,2
471,711,37,585,37,711,471,585,2
445,821,445,25,1192,25,1192,821,2
556,731,556,1476,938,1476,938,731,1
841,1394,841,627,1009,1394,1009,627,2
162,1561,996,999,162,999,996,1561,3
865,533,865,1205,1434,533,1434,1205,1
981,1359,1400,460,981,460,1400,1359,3
1106,487,435,773,435,487,1106,773,3
545,251,1112,251,1112,320,545,320,1
540,1044,1182,629,1182,1044,540,629,4
74,608,953,608,953,191,74,191,4
1181,1403,547,411,547,1403,1181,411,2
1369,1080,716,1080,716,809,1369,809,3
1310,934,664,1148,664,934,1310,1148,3
431,1326,822,1326,822,811,431,811,4
6,232,280,795,280,232,6,795,1
893,877,1048,877,1048,1497,893,1497,1
100,820,100,694,1006,820,1006,694,2
544,1138,1187,153,1187,1138,544,153,4
672,1009,672,321,1130,1009,1130,321,2
1030,304,549,757,1030,757,549,304,4
859,462,573,497,859,497,573,462,4
784,749,1607,749,1607,58,784,58,4
731,1431,731,517,232,517,232,1431,3
1626,2,745,306,745,2,1626,306,3
992,1438,992,663,192,1438,192,663,4
926,944,633,944,926,1724,633,1724,2
386,599,269,599,269,1111,386,1111,2
658,238,658,300,307,238,307,300,3
250,1360,250,907,696,907,696,1360,2
761,998,761,1041,400,998,400,1041,3
912,435,648,435,912,1362,648,1362,2
690,662,502,662,502,1482,690,1482,2
